ItemName,Function,adjacentFunc
$20xbets,"""[PMKVAL] / [PMKVAL in BENCHMARK]""",[]
$relbets,"""[PMKVAL] - [PMKVAL in BENCHMARK]""",[]
$fwdEP,"""[$ibmnwest] / [PRICE]""",['$ibmnwest']
$nig63ymo,"""[$nin63ymo] | [$nie63ymo] | [$nij63ymo] | [$nip63ymo] | [$nim63ymo]""",['$nie63ymo' '$nij63ymo' '$nim63ymo' '$nin63ymo' '$nip63ymo']
$nig6mom,"""[$nin6mom] | [$nie6mom] | [$nij6mom] | [$nip6mo] | [$nim6mom]""",['$nie6mom' '$nij6mom' '$nim6mom' '$nin6mom' '$nip6mo']
$brstmom,"""[$3mMoAdj2]""",['$3mMoAdj2']
$tcsp12,"""[$tcscp1] + [$tcscp2]""",['$tcscp1' '$tcscp2']
$tctcem,"""(([MKVAL] / 1000.0) / [$ciqmcap2]) x [$tcsp12]""",['$ciqmcap2' '$tcsp12']
$smoResN,"""if([$smoResA],([$smoResA] - [$smoResA mean within portfolio]) / [$smoResA stddev within portfolio],0.0)""",['$smoResA']
$smoResFN,"""if([$smoResF],([$smoResF] - [$smoResF mean within portfolio]) / [$smoResF stddev within portfolio],0.0)""",['$smoResF']
$tcAPG,"""(([MKVAL] / 1000.0) / [$ciqmcap2]) x [$tclacmCE]""",['$ciqmcap2' '$tclacmCE']
$tcEmInt,"""[$tclacmCE] / ([$ciqmcap2] x 1000000.0)""",['$ciqmcap2' '$tclacmCE']
$GMmibn12,"""[$funmom2m] - ([$BNmom12] - 1.0) x 100.0""",['$BNmom12' '$funmom2m']
$MIlevr2,"""[$MIqliab] / [$MImcap2]""",['$MImcap2' '$MIqliab']
$tcs12,"""if(screen($tcs1 = N.A.),0.0,[$tcs1]) + if(screen($tcs2 = N.A.),0.0,[$tcs2])""",['$tcs1' '$tcs2']
$tcs12b,"""[$tcs1] + 0.20 x [$tcs2]""",['$tcs1' '$tcs2']
$brcrbn,"""[MKVAL total within portfolio] x [$tclacmCE] / [$ciqmcap2]""",['$ciqmcap2' '$tclacmCE']
$ffg1f100,"""[$ffg1fcst] x 100.0""",['$ffg1fcst']
$mscore2,"""[$intssAB] + [$dsrissAB] x [$dsriss] + [$gmissAB] x [$GMIss] + [$aqissAB] x [$AQIss] + [$sgissAB] x [$SGIss] + [$DEPIssAB] x [$DEPIss] + [$sgaissAB] x [$SGAIss] + [$accrssAB] x [$ACCRss] + [$levissAB] x [$LEVIss]""","['$ACCRss' '$AQIss' '$DEPIss' '$DEPIssAB' '$GMIss' '$LEVIss' '$SGAIss'
 '$SGIss' '$accrssAB' '$aqissAB' '$dsriss' '$dsrissAB' '$gmissAB'
 '$intssAB' '$levissAB' '$sgaissAB' '$sgissAB']"
$ffg4fcst,"""[$ffn4fcst] | [$ffe4fcst] | [$ffj4fcst] | [$ffp4fcst]""",['$ffe4fcst' '$ffj4fcst' '$ffn4fcst' '$ffp4fcst']
$ffg4f100,"""[$ffg4fcst] x 100.0""",['$ffg4fcst']
$brsev,"""[$qsales] / ([$ciqmcap2] + [$qdebt])""",['$ciqmcap2' '$qdebt' '$qsales']
$MIS1ymo,"""if(screen(MOMENTUM = N.A.),[MOMENTUM group: MSINDGRP median within portfolio: mswldscp index],[MOMENTUM])""",[]
$MIS3ymo,"""if(screen(RETT from PDM-36 to PD = N.A.),[RETT from PDM-36 to PD group: MSINDGRP median within portfolio: mswldscp index],[RETT from PDM-36 to PD])""",[]
$MIqsalep,"""[$MIqsale] / [$MImcap2]""",['$MImcap2' '$MIqsale']
$MIqbkp,"""[$MIqbook] / [$MImcap2]""",['$MImcap2' '$MIqbook']
$smoReFNL,"""[$smoReFN2 on PDD-1]""",['$smoReFN2']
$smoResAN,"""([$smoResA] - [$smoResA mean within portfolio]) / [$smoResA stddev within portfolio]""",['$smoResA']
$ffg8f100,"""([$ffn8fcst] | [$ffe8fcst] | [$ffj8fcst] | [$ffp8fcst]) x 2.0""",['$ffe8fcst' '$ffj8fcst' '$ffn8fcst' '$ffp8fcst']
$ffg8zsco,"""([$ffg8f100] - [$ffg8f100 mean within portfolio: MSWORLD INDEX]) / [$ffg8f100 stddev within portfolio: MSWORLD INDEX]""",['$ffg8f100']
$ffg4zsco,"""([$ffg4f100] - [$ffg4f100 mean within portfolio: MSWORLD INDEX]) / [$ffg4f100 stddev within portfolio: MSWORLD INDEX]""",['$ffg4f100']
$mg1hLzsc,"""([$mg1hL100] - [$mg1hL100 mean within portfolio: MSWORLD INDEX]) / [$mg1hL100 stddev within portfolio: MSWORLD INDEX]""",['$mg1hL100']
$ffg6fcst,"""[$ffn6fcst] | [$ffe6fcst] | [$ffj6fcst] | [$ffp6fcst]""",['$ffe6fcst' '$ffj6fcst' '$ffn6fcst' '$ffp6fcst']
$ffg6f100,"""[$ffg6fcst] x 100.0""",['$ffg6fcst']
$gi7afcst,"""[$imn7fcst] | [$ime7fcst] | [$imj7fcst] | [$imp7fcst] | [$imm7fcst]""",['$ime7fcst' '$imj7fcst' '$imm7fcst' '$imn7fcst' '$imp7fcst']
$ig7arm1,"""[$nin7ARM] | [$nie7ARMG] | [$nij7ARM] | [$nip7ARM] | [$nim7ARM]""",['$nie7ARMG' '$nij7ARM' '$nim7ARM' '$nin7ARM' '$nip7ARM']
$ig7appr,"""[$nin7appr] | [$nie7appr] | [$nij7appr] | [$nip7appr] | [$nim7appr]""",['$nie7appr' '$nij7appr' '$nim7appr' '$nin7appr' '$nip7appr']
$ig7tnbp,"""[$nin7tnbp] | [$nie7tnbp] | [$nij7tnbp] | [$nip7tnbp] | [$nim7tnbp]""",['$nie7tnbp' '$nij7tnbp' '$nim7tnbp' '$nin7tnbp' '$nip7tnbp']
$ig7dist,"""[$nin7dist] | [$nie7dist] | [$nij7dist] | [$nip7dist] | [$nim7dist]""",['$nie7dist' '$nij7dist' '$nim7dist' '$nin7dist' '$nip7dist']
$ig7eq,"""[$nin7EQ] | [$nie7EQ] | [$nij7EQ] | [$nip7EQ] | [$nim7EQ]""",['$nie7EQ' '$nij7EQ' '$nim7EQ' '$nin7EQ' '$nip7EQ']
$ig7enyd,"""[$nin7enyd] | [$nie7enyd] | [$nij7enyd] | [$nip7enyd] | [$nim7enyd]""",['$nie7enyd' '$nij7enyd' '$nim7enyd' '$nin7enyd' '$nip7enyd']
$ig7fgnr,"""[$nin7FgnR] | [$nie7FgnR]""",['$nie7FgnR' '$nin7FgnR']
$ig7levr,"""[$nin7Levr] | [$nie7Levr] | [$nij7Levr] | [$nip7Levr] | [$nim7Levr]""",['$nie7Levr' '$nij7Levr' '$nim7Levr' '$nin7Levr' '$nip7Levr']
$ig7mcap,"""[$nin7mcap] | [$nie7mcap] | [$nij7mcap] | [$nip7mcap] | [$nim7mcap]""",['$nie7mcap' '$nij7mcap' '$nim7mcap' '$nin7mcap' '$nip7mcap']
$ig7mom,"""[$nin7mom] | [$nie7mom] | [$nij7mom] | [$nip7mo] | [$nim7mom]""",['$nie7mom' '$nij7mom' '$nim7mom' '$nin7mom' '$nip7mo']
$ig7pens,"""[$nin7Pens] | [$nie7Pens]""",['$nie7Pens' '$nin7Pens']
$ig7npm,"""[$nin7npm] | [$nie7npm] | [$nij7npm] | [$nip7npm] | [$nim7npm]""",['$nie7npm' '$nij7npm' '$nim7npm' '$nin7npm' '$nip7npm']
$ig7reg,"""[$nin7Reg] | [$nie7Reg] | [$nij7Reg] | [$nip7npm] | [$nim7Reg]""",['$nie7Reg' '$nij7Reg' '$nim7Reg' '$nin7Reg' '$nip7npm']
$ig7stmo,"""[$nin7stmo] | [$nie7stmo] | [$nij7stmo] | [$nip7stmo]""",['$nie7stmo' '$nij7stmo' '$nin7stmo' '$nip7stmo']
$ig7shog,"""[$nin7shog] | [$nie7shog] | [$nij7shog] | [$nip7shog]""",['$nie7shog' '$nij7shog' '$nin7shog' '$nip7shog']
$ig7shrt,"""[$nin7Shrt] | [$nie7Shrt] | [$nij7Shrt] | [$nip7Shrt]""",['$nie7Shrt' '$nij7Shrt' '$nin7Shrt' '$nip7Shrt']
$ig73ymo,"""[$nin73ymo] | [$nie73ymo] | [$nij73ymo] | [$nip73ymo] | [$nim73ymo]""",['$nie73ymo' '$nij73ymo' '$nim73ymo' '$nin73ymo' '$nip73ymo']
$ig7torp,"""[$nin7torp] | [$nie7torp] | [$nij7torp] | [$nip7torp] | [$nim7torp]""",['$nie7torp' '$nij7torp' '$nim7torp' '$nin7torp' '$nip7torp']
$ig7vol,"""[$nin7Vol] | [$nie7Vol] | [$nij7Vol] | [$nip7Vol] | [$nim7Vol]""",['$nie7Vol' '$nij7Vol' '$nim7Vol' '$nin7Vol' '$nip7Vol']
$ig7yld,"""[$nin7Yld] | [$nie7Yld] | [$nij7Yld] | [$nip7Yld] | [$nim7Yld]""",['$nie7Yld' '$nij7Yld' '$nim7Yld' '$nin7Yld' '$nip7Yld']
$gi7afraw,"""[$imn7fraw] | [$ime7fraw] | [$imj7fraw] | [$imp7fraw] | [$imm7fraw]""",['$ime7fraw' '$imj7fraw' '$imm7fraw' '$imn7fraw' '$imp7fraw']
$loqjbin2,"""if(screen($rdistrp > portfolio: LOQUJNK2 mean),1.0,0.0)""",['$rdistrp']
$gd1df100,"""[$nd1df100] | [$ed1df100] | [$jd1df100] | [$pd1df100] | [$md1df100]""",['$ed1df100' '$jd1df100' '$md1df100' '$nd1df100' '$pd1df100']
$gd1ddv4,"""[$nd1ddv4] | [$ed1ddv4] | [$jd1ddv4] | [$pd1ddv4] | [$md1ddv4]""",['$ed1ddv4' '$jd1ddv4' '$md1ddv4' '$nd1ddv4' '$pd1ddv4']
$dg1ddv4z,"""[$nd1ddv4z] | [$ed1ddv4z] | [$jd1ddv4z] | [$pd1ddv4z] | [$md1ddv4z]""",['$ed1ddv4z' '$jd1ddv4z' '$md1ddv4z' '$nd1ddv4z' '$pd1ddv4z']
$g12kfcst,"""[$n12kfcst] | [$e12kfcst] | [$p12kfcst] | [$j12kfcst] | [$m12kfcst]""",['$e12kfcst' '$j12kfcst' '$m12kfcst' '$n12kfcst' '$p12kfcst']
$g12kfraw,"""[$n12kfraw] | [$e12kfraw] | [$p12kfraw] | [$j12kfraw] | [$m12kfraw]""",['$e12kfraw' '$j12kfraw' '$m12kfraw' '$n12kfraw' '$p12kfraw']
$ciqResA,"""[$smoResA] - [$smoAdjA]""",['$smoAdjA' '$smoResA']
$ciqAdjB,"""[$smoResA] - [$smoAdjB]""",['$smoAdjB' '$smoResA']
$ciqResB,"""[$smoResA] - [$smoAdjB]""",['$smoAdjB' '$smoResA']
$gd1ddv4z,"""[$nd1ddv4z] | [$ed1ddv4z] | [$jd1ddv4z] | [$pd1ddv4z] | [$md1ddv4z]""",['$ed1ddv4z' '$jd1ddv4z' '$md1ddv4z' '$nd1ddv4z' '$pd1ddv4z']
$smoResC,"""[$smoResA] - [$smoAdjC]""",['$smoAdjC' '$smoResA']
$smoResD,"""[$smoResA] - [$smoAdjD]""",['$smoAdjD' '$smoResA']
$cg4hf100,"""([$cn4hfcst] | [$ce4hfcst] | [$cj4hfcst] | [$cp4hfcst]) x 2.0""",['$ce4hfcst' '$cj4hfcst' '$cn4hfcst' '$cp4hfcst']
$ffg8fcst,"""[$ffn8fcst] | [$ffe8fcst] | [$ffj8fcst] | [$ffp8fcst]""",['$ffe8fcst' '$ffj8fcst' '$ffn8fcst' '$ffp8fcst']
$smoResE,"""[$smoResA] - [$smoAdjE]""",['$smoAdjE' '$smoResA']
$kdfun,"""[$kdf26] + [$kdf27] + [$kdf28] + [$kdf29] + [$kdf48] + [$kdf49] + [$kdf55] + [$kdf144] + [$kdf225]""","['$kdf144' '$kdf225' '$kdf26' '$kdf27' '$kdf28' '$kdf29' '$kdf48' '$kdf49'
 '$kdf55']"
$smoResE2,"""[$smoResA] - [$smoAdjE2]""",['$smoAdjE2' '$smoResA']
$shrtSeCh,"""[$ShrtSent] - [$ShrtSent on PDY-1]""",['$ShrtSent']
$smoResE3,"""[$smoResA] - [$smoAdjE3]""",['$smoAdjE3' '$smoResA']
$adjResF,"""[$smoResF] - [$smoAdjF]""",['$smoAdjF' '$smoResF']
$cg6hfcst,"""([$cn6hfcst] | [$ce6hfcst] | [$cj6hfcst] | [$cp6hfcst]) x 2.0""",['$ce6hfcst' '$cj6hfcst' '$cn6hfcst' '$cp6hfcst']
$AdjLagE2,"""[$smoAdjE2 on PDD-1]""",['$smoAdjE2']
$ResFlgA,"""[$kdf26] + [$kdf27] + [$kdf28] + [$kdf29] + [$kdf48] + [$kdf49] + [$kdf55] + [$kdf144] + [$kdf225] + [$kdf61] + if([$rpSig],1.0,0.0)""","['$kdf144' '$kdf225' '$kdf26' '$kdf27' '$kdf28' '$kdf29' '$kdf48' '$kdf49'
 '$kdf55' '$kdf61' '$rpSig']"
$ResFlgC,"""[$kdf26] + [$kdf27] + [$kdf28] + [$kdf29] + [$kdf48] + [$kdf49] + [$kdf55] + [$kdf144] + [$kdf225]""","['$kdf144' '$kdf225' '$kdf26' '$kdf27' '$kdf28' '$kdf29' '$kdf48' '$kdf49'
 '$kdf55']"
$dayResE2,"""[$dayResA] - [$dayAdjA]""",['$dayAdjA' '$dayResA']
$jc6gfcst,"""([$jc6nfcst] | [$jc6efcst] | [$jc6jfcst] | [$jc6pfcst]) x 100.0""",['$jc6efcst' '$jc6jfcst' '$jc6nfcst' '$jc6pfcst']
$cg8hfcst,"""([$cn8hfcst] | [$ce8hfcst] | [$cj8hfcst] | [$cp8hfcst]) x 100.0""",['$ce8hfcst' '$cj8hfcst' '$cn8hfcst' '$cp8hfcst']
$cagl1e3,"""[$gl1efcst on PDM-3]""",['$gl1efcst']
$cagl1e6,"""[$gl1efcst on PDM-6]""",['$gl1efcst']
$cagl1e9,"""[$gl1efcst on PDM-9]""",['$gl1efcst']
$cagl1e12,"""[$gl1efcst on PDM-12]""",['$gl1efcst']
$resFlgPT,"""[$kdf26] + [$kdf27] + [$kdf28] + [$kdf29] + [$kdf48] + [$kdf49] + [$kdf55] + [$kdf144] + [$kdf225] + [$kdf61] + if([$rpSig],1.0,0.0)""","['$kdf144' '$kdf225' '$kdf26' '$kdf27' '$kdf28' '$kdf29' '$kdf48' '$kdf49'
 '$kdf55' '$kdf61' '$rpSig']"
$resFlgH,"""[$kdh26] + [$kdh27] + [$kdh28] + [$kdh29] + [$kdh48] + [$kdh49] + [$kdh55] + [$kdh144] + [$kdh225] + [$kdh61] + if([$rpSig],1.0,0.0)""","['$kdh144' '$kdh225' '$kdh26' '$kdh27' '$kdh28' '$kdh29' '$kdh48' '$kdh49'
 '$kdh55' '$kdh61' '$rpSig']"
$smFFresZ,"""([$smoResE2] - [$smoResE2 mean within portfolio: MSWORLD INDEX]) / [$smoResE2 stddev within portfolio: MSWORLD INDEX]""",['$smoResE2']
$6mMo,"""[RETT from PDM-6 to PD]""",[]
$MIroe,"""[$IMebitev] / [$MIqbkp]""",['$IMebitev' '$MIqbkp']
$NrmEMwm4,"""([$wm4fcst] - [$wm4fcst mean within portfolio: MEMERGEF INDEX]) / [$wm4fcst stddev within portfolio: MEMERGEF INDEX]""",['$wm4fcst']
$NrmEMmvo,"""([$radj1ea] - [$radj1ea mean within portfolio: MEMERGEF INDEX]) / [$radj1ea stddev within portfolio: MEMERGEF INDEX]""",['$radj1ea']
$shwealth,"""([YIELD] / 100.0) - [$lcmshsog]""",['$lcmshsog']
$qroic,"""([$qebit] / [$qinvcap on PDM-12])""",['$qebit' '$qinvcap']
$asstrett,"""([$qebit] / [$qasset on PDM-12])""",['$qasset' '$qebit']
$adjcapgr,"""[$invgrow1] - [$qroic]""",['$invgrow1' '$qroic']
$adjasset,"""[$agrowth1] - [$asstrett]""",['$agrowth1' '$asstrett']
$ddrchg3,"""[$gd1df100] - [$gd1df100 on PDM-3]""",['$gd1df100']
$ddrChg6m,"""[$gd1df100] - [$gd1df100 on PDM-6]""",['$gd1df100']
$ddrChg12,"""[$gd1df100] - [$gd1df100 on PDM-12]""",['$gd1df100']
$ddrchg6,"""[$gd1df100] - [$gd1df100 on PDM-6]""",['$gd1df100']
$ftngm3,"""([$funE_3m] - [$funE_3m mean within portfolio: FTSEAXIT INDEX]) / [$funE_3m stddev within portfolio: FTSEAXIT INDEX]""",['$funE_3m']
$ftngm6,"""([$funE_6m] - [$funE_6m mean within portfolio: FTSEAXIT INDEX]) / [$funE_6m stddev within portfolio: FTSEAXIT INDEX]""",['$funE_6m']
$ftngm12,"""([$funE_12m] - [$funE_12m mean within portfolio: FTSEAXIT INDEX]) / [$funE_12m stddev within portfolio: FTSEAXIT INDEX]""",['$funE_12m']
$uncadja,"""[$gl1hfcst] / [$gl1hau]""",['$gl1hau' '$gl1hfcst']
$arm_res,"""(([$wsm_armF] - [$wsm_armF mean within portfolio]) / [$wsm_armF stddev within portfolio]) - (([$smoResF2] - [$smoResF2 mean within portfolio]) / [$smoResF2 stddev within portfolio])""",['$smoResF2' '$wsm_armF']
$trdDly1,"""if(screen(score: 5 by $arm_res >= 1),1.0,0.0)""",['$arm_res']
$apmtpm9,"""if(screen($qganmoB = N.A.),[$tPeer09],[$qganmoB])""",['$qganmoB' '$tPeer09']
$trdDly1r,"""rank([$arm_res])""",['$arm_res']
$apmtpm95,"""if(screen($qganmoC = N.A.),[$tPeer095],[$qganmoC])""",['$qganmoC' '$tPeer095']
$tpmapm9,"""if(screen($tPeer09 = N.A.),[$qganmoB],[$tPeer09])""",['$qganmoB' '$tPeer09']
$tpmapm95,"""if(screen($tPeer095 = N.A.),[$qganmoC],[$tPeer095])""",['$qganmoC' '$tPeer095']
$resInAst,"""[$resIncom] / [$qasset]""",['$qasset' '$resIncom']
$nigTnbp,"""[$nin7tnbp] | [$nie7tnbp] | [$nim7tnbp] | [$nij7tnbp] | [$nip7tnbp] | [$nm5msbp]""",['$nie7tnbp' '$nij7tnbp' '$nim7tnbp' '$nin7tnbp' '$nip7tnbp' '$nm5msbp']
$nigArm,"""[$nin7ARM] | [$nie7ARMG] | [$nim7ARM] | [$nij7ARM] | [$nip7ARM] | [$nm5ARMG]""",['$nie7ARMG' '$nij7ARM' '$nim7ARM' '$nin7ARM' '$nip7ARM' '$nm5ARMG']
$nigVol,"""[$nin7Vol] | [$nie7Vol] | [$nim7Vol] | [$nij7Vol] | [$nip7Vol] | [$nm5Volat]""",['$nie7Vol' '$nij7Vol' '$nim7Vol' '$nin7Vol' '$nip7Vol' '$nm5Volat']
$nigEQ,"""[$nin7EQ] | [$nie7EQ] | [$nim7EQ] | [$nij7EQ] | [$nip7EQ] | [$nm5EQ]""",['$nie7EQ' '$nij7EQ' '$nim7EQ' '$nin7EQ' '$nip7EQ' '$nm5EQ']
$nigMcap,"""[$nin7mcap] | [$nie7mcap] | [$nim7mcap] | [$nij7mcap] | [$nip7mcap] | [$nm5mcap]""",['$nie7mcap' '$nij7mcap' '$nim7mcap' '$nin7mcap' '$nip7mcap' '$nm5mcap']
$nigMom,"""[$nin7mom] | [$nie7mom] | [$nim7mom] | [$nij7mom] | [$nip7mo] | [$nm5mom]""",['$nie7mom' '$nij7mom' '$nim7mom' '$nin7mom' '$nip7mo' '$nm5mom']
$nigShog,"""[$nin7shog] | [$nie7shog] | [$nij7shog] | [$nip7shog]""",['$nie7shog' '$nij7shog' '$nin7shog' '$nip7shog']
$nigLevr,"""[$nin7Levr] | [$nie7Levr] | [$nim7Levr] | [$nij7Levr] | [$nip7Levr] | [$nm5Lever]""",['$nie7Levr' '$nij7Levr' '$nim7Levr' '$nin7Levr' '$nip7Levr' '$nm5Lever']
$nigDist,"""[$nin7dist] | [$nie7dist] | [$nim7dist] | [$nij7dist] | [$nip7dist] | [$nigDist]""",['$nie7dist' '$nigDist' '$nij7dist' '$nim7dist' '$nin7dist' '$nip7dist']
$nigStmo,"""[$nin7stmo] | [$nie7stmo] | [$nij7stmo] | [$nip7stmo] | [$ng1stmom]""",['$ng1stmom' '$nie7stmo' '$nij7stmo' '$nin7stmo' '$nip7stmo']
$nigAppr,"""[$ig7appr] | [$nm5appr]""",['$ig7appr' '$nm5appr']
$nigYld,"""[$ig7yld] | [$nm5msYld]""",['$ig7yld' '$nm5msYld']
$nigTorp,"""[$ig7torp] | [$nm5torp]""",['$ig7torp' '$nm5torp']
$nig7npm,"""[$ig7npm]""",['$ig7npm']
$nigNPM,"""[$ig7npm] | [$nm5npm]""",['$ig7npm' '$nm5npm']
$nig3ymo,"""[$ig73ymo] | [$nm53ymom]""",['$ig73ymo' '$nm53ymom']
$nigShrt,"""[$ig7shrt]""",['$ig7shrt']
$nigEnYd,"""[$ig7enyd] | [$nm5bitev]""",['$ig7enyd' '$nm5bitev']
$g13aTest,"""[$g13afcst] | [$ca1bfcst]""",['$ca1bfcst' '$g13afcst']
$aprm9adj,"""[$qganmoB] / [$qNoAnlst]""",['$qNoAnlst' '$qganmoB']
$esgmatm2,"""if(screen($rwEsgNm <> N.A.),[$rwEsgNm],[$cesgind])""",['$cesgind' '$rwEsgNm']
$abd8scal,"""[$abd8fcst] x 1.40""",['$abd8fcst']
$fye2ovr1,"""[$IBmnfy2] / [$IBmnfy1]""",['$IBmnfy1' '$IBmnfy2']
$jhcaydin,"""[$ig7yld] - [$ig7yld group: MSINDGRP total within portfolio: JHCANBM2]""",['$ig7yld']
$jhcaydeq,"""[$jhcaydin] + [$ig7eq]""",['$ig7eq' '$jhcaydin']
$fyovrltg,"""[$fy2ovr1] / [$IMIltg]""",['$IMIltg' '$fy2ovr1']
$abd8dabl,"""([$gl1hfcst] + [$abd8scal]) / 2.0""",['$abd8scal' '$gl1hfcst']
$jhsqrtye,"""sqrt([PMKVAL in JHTCYDEQ1])""",[]
$jhEMLaYd,"""[$ng2Yield group: MSINDGRP median within portfolio: JHEMBENLA]""",['$ng2Yield']
$jhEMEEYd,"""[$ng2Yield group: MSINDGRP median within portfolio: JHEMBENEE]""",['$ng2Yield']
$jhEMAsYd,"""[$ng2Yield group: MSINDGRP median within portfolio: JHEMBENAS]""",['$ng2Yield']
$jhEMMAYd,"""[$ng2Yield group: MSINDGRP median within portfolio: JHEMBENMA]""",['$ng2Yield']
$jhemyld,"""[$ng2Yield] - if(screen($EMregion = LATIN),[$jhEMLaYd],if(screen($EMregion = EEURO),[$jhEMEEYd],if(screen($EMregion = ASIA),[$jhEMAsYd],[$jhEMMAYd])))""",['$EMregion' '$jhEMAsYd' '$jhEMEEYd' '$jhEMLaYd' '$jhEMMAYd' '$ng2Yield']
$jhemydeq,"""[$jhemyld] + [$ng2EQ]""",['$jhemyld' '$ng2EQ']
$jhemsqye,"""sqrt([PMKVAL in JHEMYDEQ1])""",[]
$abf8scal,"""[$abf8fcst] x 1.46""",['$abf8fcst']
$jhefeuyd,"""[$ng2Yield group: MSINDGRP median within portfolio: JHEAFEBEU]""",['$ng2Yield']
$jhefpbyd,"""[$ng2Yield group: MSINDGRP median within portfolio: JHEAFEBPB]""",['$ng2Yield']
$jhefjpyd,"""[$ng2Yield group: MSINDGRP median within portfolio: JHEAFEBJP]""",['$ng2Yield']
$JHEAFEYD,"""[$ng2Yield] - if(screen($lareg = EU),[$jhefeuyd],if(screen($lareg = PAC),[$jhefpbyd],[$jhefjpyd]))""",['$jhefeuyd' '$jhefjpyd' '$jhefpbyd' '$lareg' '$ng2Yield']
$jhefydeq,"""[$JHEAFEYD] + [$ng2EQ]""",['$JHEAFEYD' '$ng2EQ']
$fy2ovr1,"""if(screen($IMImnf1 <> 0),(([$IMImnf2] - [$IMImnf1]) / abs([$IMImnf1])),(([$IMImnf2] - [$IMImnf1]) / 0.01))""",['$IMImnf1' '$IMImnf2']
$jhsqefye,"""sqrt([PMKVAL in JHEAFEYE1])""",[]
$glLafBL,"""0.80 x [$glLafzsc] + 0.20 x [$stAfcst]""",['$glLafzsc' '$stAfcst']
$tprCbd90,"""([$tPeer09] + [$tP9Ml]) / 2.0""",['$tP9Ml' '$tPeer09']
$tPrCbd95,"""([$tPeer095] + [$tP95Ml]) / 2.0""",['$tP95Ml' '$tPeer095']
$tpeer95b,"""([$tPeer095] + [$tP95Ml]) / 2.0""",['$tP95Ml' '$tPeer095']
$bPeerMom,"""if(screen($bPeerM95 = N.A.),[$qganmoC],[$bPeerM95])""",['$bPeerM95' '$qganmoC']
$glLcBL1,"""0.50 x ([$glLcfzsc] + [$stAfcst])""",['$glLcfzsc' '$stAfcst']
$tbCHINA,"""if(screen(COUNTRY = CHINA),1.0,0.0)""",[]
$tsCHINA,"""if(screen(COUNTRY = CHINA),11.0,0.0)""",[]
$AssetTO,"""[$qsales] / [$qasset]""",['$qasset' '$qsales']
$yldindNA,"""[$ng2Yield group: MSINDGRP median within portfolio: MNRTHAM INDEX]""",['$ng2Yield']
$yldIndWo,"""[$ng2Yield] - if(screen($lareg = NAM),[$yldindNA],if(screen($lareg = EU),[$yldindEU],if(screen($lareg = PAC),[$yldindPC],[$yldindJP])))""",['$lareg' '$ng2Yield' '$yldindEU' '$yldindJP' '$yldindNA' '$yldindPC']
$YldEQWld,"""[$yldIndWo] + [$ng2EQ]""",['$ng2EQ' '$yldIndWo']
$abh8scal,"""[$abh8fcst] x 1.550""",['$abh8fcst']
$jcGMom12,"""100.0 x ([$fndTruB] / [$fndTruB on PDM-12] - 1.0)""",['$fndTruB']
$smoResMI,"""[$smoResB] - [$smoAdjB]""",['$smoAdjB' '$smoResB']
$smoresem,"""[$smoResE2] | [$smoResMI]""",['$smoResE2' '$smoResMI']
$raabh8sc,"""[$radjabh8] x 0.64""",['$radjabh8']
$tempscal,"""[$radjabh8] x 0.64""",['$radjabh8']
$abh8v1s,"""[$rajabh8] x 0.82""",['$rajabh8']
$gi8afcst,"""[$imn8fcst] | [$ime8fcst] | [$imj8fcst] | [$imp8fcst] | [$imm8fcst]""",['$ime8fcst' '$imj8fcst' '$imm8fcst' '$imn8fcst' '$imp8fcst']
$ig7smre,"""[$nin7smre] | [$nie7smre] | [$nij7smre] | [$nip7smre] | [$nim7smre]""",['$nie7smre' '$nij7smre' '$nim7smre' '$nin7smre' '$nip7smre']
$tpeer9b,"""([$tPeer09] + [$tP9Ml]) / 2.0""",['$tP9Ml' '$tPeer09']
$em12Dec,"""rank([$em12fcst])""",['$em12fcst']
$bpeerMo9,"""if(screen($bpeerm9 = N.A.),[$qganmoB],[$bpeerm9])""",['$bpeerm9' '$qganmoB']
$bpeerMo3,"""if(screen($bpeer3m = N.A.),[$qganmo],[$bpeer3m])""",['$bpeer3m' '$qganmo']
$mom12mNr,"""([$Mom12mE] - [$Mom12mE mean within portfolio: MSWORLD INDEX]) / [$Mom12mE stddev within portfolio: MSWORLD INDEX]""",['$Mom12mE']
$bbb3Blsc,"""1.250 x [$bb3BL]""",['$bb3BL']
$rs02news,"""[$rs02bres] - [$rs02badj]""",['$rs02badj' '$rs02bres']
$funMom02,"""100.0 x (([$rs02tfun] / [$rs02tfun on PDM-12]) - 1.0)""",['$rs02tfun']
$funmom2m,"""100.0 x (([$rs02tfun] / [$rs02tfun on PDM-12]) x ([$rs02tadj] / [$rs02tadj on PDM-12]) - 1.0)""",['$rs02tadj' '$rs02tfun']
$bwequal,"""([$qbook] - [$qbook on PDQ-4]) / (([$qasset] + [$qasset on PDQ-1] + [$qasset on PDQ-2] + [$qasset on PDQ-3] + [$qasset on PDQ-4]) / 5.0)""",['$qasset' '$qbook']
$perfecEP,"""[$qebit on PDY1] / ([$ciqmcap2] + [$qdebt])""",['$ciqmcap2' '$qdebt' '$qebit']
$g14afcst,"""[$gl1ifcst] | [$ime7fcst]""",['$gl1ifcst' '$ime7fcst']
$crpintsy,"""(([$tcs1] + [$tcs2]) / [SALE]) x 1000.0""",['$tcs1' '$tcs2']
