ItemName,Function,adjacentFunc
$revpshar,"""(([$qsales] x 1000000.0) / ([SHSO] x 1000.0))""",['$qsales']
$fcfps,"""(([$qfcfe] x 1000000.0) / (([SHSO] x 1000.0)))""",['$qfcfe']
$dvdps,"""[$MSGRUYLD] x [$MSPRICE] / 100.0""",['$MSGRUYLD' '$MSPRICE']
$gr2Afcst,"""[$gr02fcst] | [$gr2Sfcst] | [$NA]""",['$NA' '$gr02fcst' '$gr2Sfcst']
$epnorm,"""([$MSEP] - [$MSEP mean within portfolio: MEMERGEF INDEX]) / [$MSEP stddev within portfolio: MEMERGEF INDEX]""",['$MSEP']
$NAlcmsz7,"""[$Cdasiz90] | [$NA] | [$lcmsize7]""",['$Cdasiz90' '$NA' '$lcmsize7']
$emcf2p3,"""((([$emcf1] x 1000000.0) / [$MSCLSHRS]) / [$MSPRICE])""",['$MSCLSHRS' '$MSPRICE' '$emcf1']
$dagtst,"""if(screen(HOLDINGS in NALCUNIV > 0),[$dn01fcst],if(screen(HOLDINGS in ELCUNIV > 0),[$em4fcst],if(screen(HOLDINGS in JLCUNIV > 0),[$dj05fcst],if(screen(HOLDINGS in PLCUNIV > 0),[$dp01fcst],if(screen(HOLDINGS in MEMERGEF INDEX > 0),[$ii19fcst],[$NA])))))""",['$NA' '$dj05fcst' '$dn01fcst' '$dp01fcst' '$em4fcst' '$ii19fcst']
$emnum,"""[$NUMUPFY1] + [$NUMDNFY1]""",['$NUMDNFY1' '$NUMUPFY1']
$nodata,"""if(screen( $EMARM = N.A. | $EMEQ = N.A.),1.0,0.0)""",['$EMARM' '$EMEQ']
$PACsize,"""if(screen(HOLDINGS in PLCUNIV2 > 0),1.0,[$NA])""",['$NA']
$qlcmLiab,"""[$qliab] / [$qmcap]""",['$qliab' '$qmcap']
$msshrec,"""if(screen($MSShares > 0),(1.0 / [$MSShares]),0.0)""",['$MSShares']
$useu5,"""[$na2fcst] | [$de13fcst] | [$dp01fcst] | [$dj01fcst] | [$dm01fcst] | [$NA]""",['$NA' '$de13fcst' '$dj01fcst' '$dm01fcst' '$dp01fcst' '$na2fcst']
$am4fcst,"""[$ac06fcst] | [$ja06fcst]""",['$ac06fcst' '$ja06fcst']
$emcf2p4,"""[$mscf] | [$emcf2p3]""",['$emcf2p3' '$mscf']
$cshtrec,"""if(screen($cshtrm = 0),1.0,(1.0 / ([$cshtrm] x 1000.0)))""",['$cshtrm']
$msrecnl,"""if(screen( HOLDINGS in ELCU > 0 ~ HOLDINGS in GMNEUR12 > 0),[$msshrec],0.0)""",['$msshrec']
$armavg,"""[$EMARM mean within portfolio]""",['$EMARM']
$eqavg,"""[$EMEQ mean within portfolio]""",['$EMEQ']
$dagtst2,"""if(screen(HOLDINGS in NALCUNIV > 0),[$dn01fcst],if(screen(HOLDINGS in ELCUNIV > 0),[$de02fcst],if(screen(HOLDINGS in JLCUNIV > 0),[$dj05fcst],if(screen(HOLDINGS in PLCUNIV > 0),([$dp01fcst] x 0.250),[$NA]))))""",['$NA' '$de02fcst' '$dj05fcst' '$dn01fcst' '$dp01fcst']
$EMG,"""([$MSROE]) x (1.0 - [$MSDPS] / [$MSEPS])""",['$MSDPS' '$MSEPS' '$MSROE']
$emshares,"""[HOLDINGS in MEMERGEF INDEX] / [$MSCLSHRS]""",['$MSCLSHRS']
$ib01new,"""[$ib01fcst] | 0.0""",['$ib01fcst']
$ib01reg,"""[$ib01fcst] | [$ib01fcst group: $emreg2 mean within portfolio: MEMERGEF INDEX]""",['$emreg2' '$ib01fcst']
$lcm3mrvs,"""[RETT from PDM-3 to PD] - [RETT from PDM-3 to PD group: MSINDGRP mean within portfolio]""",[]
$ib0170,"""[$ib01fcst] | [$ie70fcst]""",['$ib01fcst' '$ie70fcst']
$ib01nrm,"""if(screen($emwrd = NORM),[$ib01fcst],0.0) | 0.0""",['$emwrd' '$ib01fcst']
$kctst,"""[$de02fcst on LEM-1]""",['$de02fcst']
$lancerb,"""if(screen($lancer > 0),1.0,0.0)""",['$lancer']
$insidef,"""if(screen($lancer >= -4),0.0,1.0)""",['$lancer']
$PRICERES,"""[PRICERES] | [$gcapmre4] | [$gcapmre4 on PDD-1]""",['$gcapmre4']
$ib02fcst,"""log(1.0 + ([MOMENTUM] / 100.0)) x 0.10""",[]
$emep,"""1.0 / [PER]""",[]
$GACsize,"""if(screen(HOLDINGS in GLCUNIV3 > 0),1.0,if(screen(HOLDINGS in GSCUNIV3 > 0),0.0,[$NA]))""",['$NA']
$dagl4d,"""if(screen(HOLDINGS in NALCUNIV > 0),[$dn01fcst],if(screen(HOLDINGS in ELCUNIV > 0),[$de01fcst],if(screen(HOLDINGS in JLCUNIV > 0),[$dj05fcst],if(screen(HOLDINGS in PLCUNIV > 0),[$dp01fcst],if(screen(HOLDINGS in MEMERGEF INDEX > 0),[$dm19fcst],[$NA])))))""",['$NA' '$de01fcst' '$dj05fcst' '$dm19fcst' '$dn01fcst' '$dp01fcst']
$emfep,"""[$imntwest] / [$MSPRICE]""",['$MSPRICE' '$imntwest']
